,source,target,weight,BinaryWeight
0,3497,0,10,1
1,429,0,10,1
2,3133,0,10,1
3,3025,0,10,1
4,3009,0,10,1
5,803,0,10,1
6,159,0,10,1
7,94,0,9,1
8,376,0,7,1
9,887,0,7,1
10,88,0,7,1
11,1900,0,6,1
12,160,0,6,1
13,255,0,6,1
14,350,0,5,1
15,3328,0,5,1
16,3340,0,5,1
17,648,0,5,1
18,1582,0,5,1
19,86,0,5,1
20,36,0,5,1
21,308,0,5,1
22,820,0,5,1
23,1495,0,5,1
24,636,0,5,1
25,963,0,5,1
26,593,0,5,1
27,2248,0,5,1
28,553,0,5,1
29,19,0,5,1
30,2226,0,5,1
31,1314,0,5,1
32,518,0,5,1
33,1315,0,5,1
34,2148,0,5,1
35,1723,0,5,1
36,17,0,5,1
37,56,0,5,1
38,117,0,4,1
39,3253,0,4,1
40,1176,0,4,1
41,111,0,4,1
42,10,0,4,1
43,585,0,4,1
44,34,0,4,1
45,14,0,4,1
46,1444,0,4,1
47,151,0,4,1
48,1,0,4,1
49,112,0,4,1
50,43,0,3,1
51,2400,0,3,1
52,9,0,3,1
53,2377,0,3,1
54,125,0,3,1
55,3244,0,3,1
56,782,0,3,1
57,492,0,3,1
58,1357,0,3,1
59,1179,0,3,1
60,528,0,3,1
61,332,0,3,1
62,1537,0,3,1
63,2281,0,3,1
64,1518,0,3,1
65,2965,0,3,1
66,473,0,3,1
67,329,0,3,1
68,957,0,3,1
69,16,0,3,1
70,1294,0,3,1
71,37,0,3,1
72,1951,0,3,1
73,222,0,3,1
74,624,0,2,1
75,1391,0,2,1
76,3354,0,2,1
77,1880,0,2,1
78,57,0,2,1
79,95,0,2,1
80,1579,0,2,1
81,195,0,2,1
82,145,0,2,1
83,415,0,2,1
84,1197,0,2,1
85,3318,0,2,1
86,1866,0,2,1
87,895,0,2,1
88,616,0,2,1
89,3299,0,2,1
90,1876,0,2,1
91,461,0,2,1
92,3278,0,2,1
93,453,0,2,1
94,1859,0,2,1
95,120,0,2,1
96,150,0,2,1
97,1569,0,2,1
98,1572,0,2,1
99,1062,0,2,1
100,1352,0,2,1
101,458,0,2,1
102,2333,0,2,1
103,1266,0,2,1
104,1059,0,2,1
105,1060,0,2,1
106,3609,0,2,1
107,1354,0,2,1
108,70,0,2,1
109,3069,0,2,1
110,2112,0,2,1
111,3000,0,2,1
112,395,0,2,1
113,2259,0,2,1
114,141,0,2,1
115,2237,0,2,1
116,122,0,2,1
117,2941,0,2,1
118,1508,0,2,1
119,3588,0,2,1
120,1759,0,2,1
121,2875,0,2,1
122,258,0,2,1
123,1492,0,2,1
124,2844,0,2,1
125,369,0,2,1
126,2843,0,2,1
127,2166,0,2,1
128,155,0,2,1
129,2807,0,2,1
130,254,0,2,1
131,735,0,2,1
132,3781,0,2,1
133,345,0,2,1
134,8,0,2,1
135,74,0,2,1
136,174,0,2,1
137,2753,0,2,1
138,21,0,2,1
139,154,0,2,1
140,1260,0,2,1
141,2551,0,2,1
142,2585,0,2,1
143,709,0,2,1
144,577,0,2,1
145,471,0,2,1
146,2471,0,2,1
147,1605,0,2,1
148,3,0,2,1
149,562,0,2,1
150,743,0,1,1
151,3421,0,1,1
152,249,0,1,1
153,248,0,1,1
154,2426,0,1,1
155,3413,0,1,1
156,1589,0,1,1
157,2304,0,1,1
158,1899,0,1,1
159,3391,0,1,1
160,1064,0,1,1
161,1146,0,1,1
162,1071,0,1,1
163,3374,0,1,1
164,1023,0,1,1
165,708,0,1,1
166,1381,0,1,1
167,3331,0,1,1
168,1884,0,1,1
169,3329,0,1,1
170,1196,0,1,1
171,3315,0,1,1
172,1885,0,1,1
173,153,0,1,1
174,1521,0,1,1
175,2390,0,1,1
176,3297,0,1,1
177,431,0,1,1
178,3291,0,1,1
179,3289,0,1,1
180,3775,0,1,1
181,3273,0,1,1
182,1874,0,1,1
183,290,0,1,1
184,157,0,1,1
185,1578,0,1,1
186,1845,0,1,1
187,1065,0,1,1
188,289,0,1,1
189,3232,0,1,1
190,890,0,1,1
191,246,0,1,1
192,1855,0,1,1
193,3210,0,1,1
194,114,0,1,1
195,1364,0,1,1
196,482,0,1,1
197,3209,0,1,1
198,3188,0,1,1
199,3192,0,1,1
200,2351,0,1,1
201,1846,0,1,1
202,3172,0,1,1
203,1050,0,1,1
204,1842,0,1,1
205,2341,0,1,1
206,3519,0,1,1
207,3138,0,1,1
208,1185,0,1,1
209,3166,0,1,1
210,3148,0,1,1
211,1841,0,1,1
212,3155,0,1,1
213,3140,0,1,1
214,816,0,1,1
215,1839,0,1,1
216,1838,0,1,1
217,2323,0,1,1
218,3142,0,1,1
219,3141,0,1,1
220,173,0,1,1
221,2314,0,1,1
222,1355,0,1,1
223,1834,0,1,1
224,295,0,1,1
225,3117,0,1,1
226,1541,0,1,1
227,3110,0,1,1
228,752,0,1,1
229,3087,0,1,1
230,394,0,1,1
231,3067,0,1,1
232,3041,0,1,1
233,1441,0,1,1
234,1338,0,1,1
235,595,0,1,1
236,2280,0,1,1
237,221,0,1,1
238,193,0,1,1
239,3063,0,1,1
240,1811,0,1,1
241,1795,0,1,1
242,700,0,1,1
243,123,0,1,1
244,3056,0,1,1
245,3605,0,1,1
246,2275,0,1,1
247,2270,0,1,1
248,1524,0,1,1
249,2234,0,1,1
250,3026,0,1,1
251,2089,0,1,1
252,1341,0,1,1
253,330,0,1,1
254,3022,0,1,1
255,2260,0,1,1
256,67,0,1,1
257,115,0,1,1
258,1042,0,1,1
259,3019,0,1,1
260,490,0,1,1
261,178,0,1,1
262,2251,0,1,1
263,213,0,1,1
264,438,0,1,1
265,2146,0,1,1
266,1166,0,1,1
267,696,0,1,1
268,66,0,1,1
269,1792,0,1,1
270,257,0,1,1
271,1339,0,1,1
272,2995,0,1,1
273,1519,0,1,1
274,1335,0,1,1
275,29,0,1,1
276,177,0,1,1
277,746,0,1,1
278,2961,0,1,1
279,2951,0,1,1
280,454,0,1,1
281,259,0,1,1
282,622,0,1,1
283,28,0,1,1
284,1509,0,1,1
285,2926,0,1,1
286,300,0,1,1
287,2906,0,1,1
288,2908,0,1,1
289,1147,0,1,1
290,954,0,1,1
291,1501,0,1,1
292,2852,0,1,1
293,1499,0,1,1
294,2177,0,1,1
295,1319,0,1,1
296,873,0,1,1
297,2176,0,1,1
298,2891,0,1,1
299,635,0,1,1
300,1033,0,1,1
301,1493,0,1,1
302,275,0,1,1
303,1317,0,1,1
304,116,0,1,1
305,1491,0,1,1
306,1301,0,1,1
307,1312,0,1,1
308,1490,0,1,1
309,2869,0,1,1
310,2180,0,1,1
311,1308,0,1,1
312,1749,0,1,1
313,2847,0,1,1
314,1457,0,1,1
315,950,0,1,1
316,1028,0,1,1
317,2175,0,1,1
318,2845,0,1,1
319,346,0,1,1
320,2172,0,1,1
321,2825,0,1,1
322,1741,0,1,1
323,2165,0,1,1
324,2822,0,1,1
325,2819,0,1,1
326,2813,0,1,1
327,1735,0,1,1
328,1024,0,1,1
329,1481,0,1,1
330,1482,0,1,1
331,2151,0,1,1
332,2805,0,1,1
333,1127,0,1,1
334,2800,0,1,1
335,2794,0,1,1
336,1289,0,1,1
337,1287,0,1,1
