,source,target,weight,BinaryWeight
0,5,1,4,1
1,5,4,2,1
2,0,11,1,1
3,3,2,7,1
4,10,12,8,1
5,10,9,8,1
6,6,4,1,1
7,1,16,5,1
8,1,15,5,1
9,16,1,5,1
10,16,0,8,1
11,16,9,8,1
12,16,7,9,1
13,16,2,7,1
14,13,2,5,1
15,13,17,1,1
16,9,0,8,1
17,9,5,7,1
18,9,16,8,1
19,9,7,1,1
20,9,18,10,1
21,9,1,7,1
22,9,2,7,1
23,3,19,1,1
24,19,3,1,1
25,4,0,3,1
26,4,5,3,1
27,4,6,1,1
28,0,4,4,1
29,5,3,2,1
30,3,5,5,1
31,1,3,5,1
32,13,20,1,1
33,13,10,2,1
34,10,13,2,1
35,10,21,2,1
36,21,10,2,1
37,13,15,2,1
38,3,22,1,1
39,22,3,2,1
40,23,5,1,1
41,10,0,8,1
42,6,25,1,1
43,25,6,1,1
44,23,0,1,1
45,0,23,1,1
46,0,25,1,1
47,25,0,1,1
48,25,10,1,1
49,10,25,1,1
50,5,6,5,1
51,6,5,3,1
52,0,13,9,1
53,0,22,2,1
54,22,0,3,1
55,26,5,2,1
56,0,10,3,1
57,27,28,1,1
58,28,27,1,1
59,26,0,1,1
60,13,0,9,1
61,7,0,3,1
62,6,21,2,1
63,0,15,2,1
64,28,31,1,1
65,31,28,1,1
66,29,32,1,1
67,29,6,3,1
68,29,31,1,1
69,31,29,1,1
70,17,13,1,1
71,17,14,1,1
72,27,33,1,1
73,33,27,1,1
74,34,0,2,1
75,10,6,1,1
76,6,10,1,1
77,21,35,1,1
78,35,21,1,1
79,21,36,1,1
80,36,21,1,1
81,32,29,2,1
82,32,37,2,1
83,37,32,2,1
84,32,38,2,1
85,38,32,2,1
86,0,38,1,1
87,38,0,1,1
88,6,2,6,1
89,27,30,2,1
90,30,27,2,1
91,27,16,2,1
92,16,27,2,1
93,6,27,3,1
94,27,6,4,1
95,6,37,4,1
96,37,6,4,1
97,6,39,1,1
98,39,6,1,1
99,21,6,2,1
100,3,41,5,1
101,29,16,2,1
102,16,29,2,1
103,3,43,2,1
104,43,3,3,1
105,43,15,8,1
106,43,1,2,1
107,26,46,1,1
108,46,26,2,1
109,40,0,2,1
110,0,40,2,1
111,3,47,2,1
112,47,3,2,1
113,16,6,5,1
114,6,15,4,1
115,26,49,1,1
116,26,50,1,1
117,29,49,2,1
118,49,29,2,1
119,49,26,2,1
120,0,51,1,1
121,51,0,8,1
122,6,20,2,1
123,20,6,1,1
124,3,52,4,1
125,0,53,1,1
126,53,0,1,1
127,30,54,1,1
128,48,45,1,1
129,55,6,1,1
130,6,55,1,1
131,6,14,5,1
132,23,17,1,1
133,17,23,1,1
134,17,15,1,1
135,43,56,4,1
136,0,57,1,1
137,57,0,1,1
138,42,30,1,1
139,30,42,1,1
140,57,42,1,1
141,42,57,1,1
142,41,3,2,1
143,17,49,1,1
144,49,17,1,1
145,45,48,1,1
146,26,58,1,1
147,58,26,1,1
148,30,3,1,1
149,3,30,1,1
150,0,48,2,1
151,48,0,2,1
152,49,20,3,1
153,20,49,3,1
154,45,59,1,1
155,13,60,1,1
156,60,13,1,1
157,49,44,1,1
158,44,49,1,1
159,30,61,1,1
160,30,75,1,1
161,61,30,1,1
162,30,62,1,1
163,62,30,1,1
164,75,30,1,1
165,3,63,1,1
166,63,3,1,1
167,60,49,2,1
168,49,60,2,1
169,30,65,1,1
170,65,30,1,1
171,42,63,1,1
172,63,42,1,1
173,6,65,2,1
174,65,6,2,1
175,45,67,1,1
176,30,50,1,1
177,67,45,1,1
178,50,68,1,1
179,68,50,3,1
180,50,30,1,1
181,50,26,1,1
182,29,13,3,1
183,13,29,1,1
184,50,69,1,1
185,69,50,3,1
186,11,70,2,1
187,70,11,2,1
188,49,71,4,1
189,71,49,1,1
190,64,6,3,1
191,0,60,1,1
192,50,11,1,1
193,11,50,1,1
194,60,0,1,1
195,0,73,1,1
196,44,38,2,1
197,38,44,2,1
198,73,0,1,1
199,72,73,1,1
200,73,74,1,1
201,59,18,2,1
202,72,42,2,1
203,29,3,1,1
204,3,29,1,1
205,30,76,1,1
206,52,3,4,1
207,69,77,1,1
208,77,69,1,1
209,60,78,2,1
210,78,60,3,1
211,42,79,1,1
212,79,42,1,1
213,70,48,1,1
214,48,70,1,1
215,69,78,2,1
216,6,80,1,1
217,80,6,1,1
218,30,81,1,1
219,30,48,1,1
220,48,30,1,1
221,78,69,2,1
222,17,6,5,1
223,6,82,1,1
224,82,6,1,1
225,45,83,2,1
226,83,45,2,1
227,83,56,1,1
228,83,86,2,1
229,83,42,4,1
230,42,83,4,1
231,80,29,1,1
232,29,80,1,1
233,5,85,2,1
234,85,29,1,1
235,5,23,1,1
236,29,85,1,1
237,34,6,1,1
238,0,88,1,1
239,88,0,10,1
240,72,0,3,1
241,72,6,4,1
242,6,72,2,1
243,6,34,1,1
244,6,90,1,1
245,90,6,1,1
246,17,79,1,1
247,79,17,1,1
248,79,75,1,1
249,75,79,1,1
250,42,40,2,1
251,86,56,3,1
252,88,92,10,1
253,88,18,1,1
254,0,1,8,1
255,0,55,2,1
256,55,0,2,1
257,0,17,6,1
258,38,93,1,1
259,87,6,2,1
260,6,87,2,1
261,38,10,2,1
262,10,38,2,1
263,56,29,3,1
264,56,11,1,1
265,56,5,3,1
266,56,0,3,1
267,56,17,1,1
268,56,20,3,1
269,56,86,3,1
270,56,83,1,1
271,56,94,1,1
272,56,43,3,1
273,93,38,1,1
274,38,1,2,1
275,1,38,2,1
276,92,88,10,1
277,92,95,1,1
278,95,92,2,1
279,6,96,1,1
280,96,6,1,1
281,76,30,1,1
282,30,45,1,1
283,45,30,1,1
284,41,81,1,1
285,84,91,2,1
286,91,84,2,1
287,38,6,6,1
288,6,38,5,1
289,84,17,2,1
290,84,98,2,1
291,98,84,2,1
292,57,27,2,1
293,27,57,2,1
294,1,95,2,1
295,95,1,2,1
296,69,11,4,1
297,81,41,1,1
298,81,30,1,1
299,95,20,1,1
300,20,95,1,1
301,82,0,1,1
302,95,97,1,1
303,97,95,1,1
304,95,72,1,1
305,72,95,1,1
306,30,99,1,1
307,11,69,3,1
308,99,30,1,1
309,6,99,1,1
310,99,6,1,1
311,0,100,1,1
312,100,0,1,1
313,95,100,1,1
314,100,95,1,1
315,72,82,1,1
316,82,72,1,1
317,72,45,1,1
318,45,72,1,1
319,30,102,1,1
320,102,30,1,1
321,6,42,5,1
322,42,72,2,1
323,6,103,2,1
324,103,97,5,1
325,97,103,5,1
326,103,6,3,1
