,source,target,weight
0,130,530,1
1,11,244,1
2,3773,429,1
3,53,327,1
4,93,2335,1
5,875,3654,-10
6,0,346,1
7,184,1690,2
8,142,687,5
9,25,390,1
10,0,2237,1
11,86,85,2
12,2368,94,-10
13,69,231,1
14,295,29,1
15,148,910,1
16,18,85,-1
17,534,506,2
18,124,2224,-10
19,125,95,2
20,94,0,9
21,42,3778,-10
22,60,1273,2
23,773,1,1
24,18,5,6
25,71,3346,1
26,1760,2896,1
27,38,75,3
28,219,966,1
29,437,174,1
30,177,60,3
31,277,72,1
32,858,2702,1
33,1581,416,1
34,18,115,2
35,39,716,1
36,14,46,-1
37,2,106,2
38,3676,1248,1
39,1967,201,2
40,1056,6,1
41,28,683,2
42,14,3446,1
43,172,361,1
44,149,3780,-10
45,812,45,1
46,39,1599,1
47,1461,3552,5
48,78,729,1
49,204,21,1
50,156,84,1
51,86,14,1
52,124,320,1
53,628,2087,1
54,1185,244,1
55,258,114,1
56,1062,2,1
57,111,7,1
58,4,261,2
59,507,608,1
60,511,1,1
61,758,58,1
62,957,640,1
63,96,68,1
64,492,524,1
65,258,176,1
66,1345,26,1
67,724,1112,1
68,45,3177,1
69,896,144,-1
70,895,431,1
71,271,216,2
72,1279,38,2
73,10,592,1
74,11,483,2
75,529,20,1
76,27,3572,1
77,453,1067,1
78,0,66,1
79,30,285,1
80,443,3702,-10
81,3105,300,1
82,142,1761,1
83,72,155,1
84,53,73,5
85,3776,3778,10
86,176,1537,1
87,87,645,7
88,45,126,10
89,396,157,1
90,699,30,1
91,75,1940,1
92,320,124,1
93,914,141,1
94,1184,6,1
95,423,536,1
96,891,7,3
97,243,32,1
98,1,51,1
99,292,112,3
100,123,0,1
101,579,2704,1
102,1646,225,1
103,88,153,1
104,3513,103,2
105,35,556,1
106,0,2135,1
107,60,3465,1
108,169,2178,1
109,162,649,1
110,1585,527,1
111,1574,246,3
112,640,21,3
113,1632,567,1
114,913,676,2
115,459,46,2
116,535,991,1
117,521,7,3
118,1877,1191,1
119,584,33,1
120,1039,9,2
121,2233,70,1
122,94,2368,-10
123,180,2610,1
124,143,348,3
125,2582,281,5
126,147,539,5
127,936,1341,1
128,67,177,1
129,2271,45,1
130,606,199,2
131,105,738,1
132,107,482,2
133,299,343,5
134,391,15,2
135,152,1661,1
136,432,889,1
137,124,84,2
138,534,108,1
139,67,176,2
140,2396,104,1
141,65,69,1
142,251,719,1
143,57,80,4
144,249,48,6
145,0,2782,1
146,1086,73,1
147,797,196,1
148,207,195,1
149,1399,3730,1
150,543,250,1
151,0,3299,1
152,400,1665,1
153,331,3764,1
154,156,11,2
155,2827,3781,1
156,487,60,1
157,10,271,1
158,246,80,5
159,1650,64,1
160,2188,359,1
161,296,3615,1
162,402,934,1
163,14,1902,1
164,893,758,1
165,490,3780,-10
166,32,1143,1
167,290,4,4
168,7,595,1
169,46,486,1
170,157,0,1
171,178,176,-10
172,2584,27,1
173,151,1690,2
174,23,62,6
175,868,254,2
176,368,3782,-10
177,125,232,1
178,228,11,6
179,391,303,2
180,2208,160,1
181,0,1341,1
182,930,88,1
183,57,119,1
184,1248,27,10
185,2110,38,10
186,76,160,2
187,3464,3762,-4
188,48,114,1
189,7,241,-1
190,28,121,2
191,15,1173,4
192,221,2417,1
193,2866,797,1
194,189,2423,2
195,111,12,1
196,3588,16,2
197,257,60,3
198,1542,552,1
199,333,53,5
200,3464,40,2
201,30,91,3
202,531,2664,1
203,61,885,1
204,1133,34,2
205,20,533,1
206,503,131,2
207,1595,14,3
208,234,896,1
209,2264,193,1
210,6,535,-4
211,850,39,1
212,42,369,-3
213,21,3713,-5
214,49,575,1
215,530,148,1
216,6,355,1
217,108,865,1
218,149,144,1
219,189,176,2
220,3,3728,1
221,117,35,10
222,104,91,5
223,2058,358,2
224,6,1498,4
225,1103,238,3
226,92,3693,-5
227,840,3,2
228,10,2790,1
229,94,2256,-1
230,17,120,1
231,2,3086,1
232,86,1,2
233,338,297,5
234,15,1639,2
235,35,289,1
236,6,141,-10
237,2335,14,8
238,246,11,5
239,220,1343,5
240,768,118,1
241,261,1185,1
242,29,113,1
243,2,2305,2
244,2,876,1
245,361,94,1
246,378,269,1
247,27,1448,1
248,129,3742,2
249,195,702,1
250,10,941,1
251,32,87,2
252,3593,5,1
253,115,28,2
254,52,3766,-5
255,1172,279,1
256,292,504,1
257,403,83,2
258,831,113,2
259,8,202,1
260,144,2250,1
261,18,550,1
262,9,940,1
263,72,331,2
264,28,206,1
265,613,56,1
266,237,117,1
267,2923,176,2
268,1146,0,1
269,1639,15,2
270,202,69,1
271,225,322,1
272,75,910,1
273,176,968,2
274,3728,15,2
275,3782,146,10
276,23,97,1
277,646,187,1
278,243,226,2
279,91,39,2
280,640,66,1
281,513,2044,1
282,255,942,1
283,302,386,10
284,68,2152,1
285,77,276,1
286,2539,1621,1
287,784,77,1
288,217,1364,3
289,7,612,-2
290,72,9,3
291,78,1275,1
292,3035,12,1
293,150,2970,1
294,49,23,1
295,49,1416,1
296,471,269,1
297,289,1064,1
298,117,26,1
299,428,30,9
300,471,1234,2
301,945,102,1
302,897,11,1
303,0,1308,1
304,18,579,2
305,2286,195,3
306,242,70,10
307,3775,0,1
308,1465,561,1
309,2878,50,1
310,743,248,1
311,4,3700,-10
312,3572,3749,-1
313,318,9,3
314,2,645,2
315,244,184,-10
316,373,363,8
317,1593,113,2
318,290,84,2
319,141,516,1
320,554,450,1
321,33,204,2
322,181,777,1
323,245,94,1
324,103,3352,1
325,122,94,1
326,10,948,1
327,16,8,5
328,276,739,1
329,39,2890,1
330,52,3641,-10
331,367,2667,1
332,117,237,1
333,27,3739,-10
334,591,183,1
335,591,24,3
336,139,36,1
337,2602,477,1
338,75,313,1
339,244,2379,1
340,21,592,1
341,613,646,1
342,568,214,1
343,0,542,1
344,51,66,1
345,1614,995,3
346,1455,2,2
347,87,4,3
348,800,35,1
349,400,2973,1
350,933,932,1
351,294,161,1
352,144,1610,1
353,613,3749,-1
354,853,8,2
355,549,2909,1
356,29,265,2
357,174,299,1
358,1319,1759,1
359,368,88,1
360,127,1189,1
361,1072,280,1
362,3114,146,2
363,535,667,1
364,124,172,1
365,12,650,5
366,1443,310,1
367,32,3743,2
368,863,194,3
369,3773,1322,4
370,285,705,1
371,124,411,1
372,165,547,1
373,3564,14,-1
374,18,10,-5
375,9,165,1
376,3739,3453,8
377,42,453,3
378,102,29,1
379,14,2430,1
380,7,74,1
381,525,48,1
382,75,2036,1
383,1,17,1
384,234,3730,3
385,0,1605,2
