,source,target,weight
0,5762,4444,1
1,4604,4642,3
2,26,3313,1
3,3523,3786,1
4,4340,3518,1
5,2587,4033,1
6,385,1324,2
7,5082,240,2
8,1564,1524,1
9,636,644,1
10,495,145,3
11,2272,1853,1
12,4205,2077,2
13,396,393,1
14,176,5598,1
15,2528,1987,1
16,2247,2295,1
17,3150,3151,2
18,4836,3659,6
19,3573,4206,8
20,5545,5679,8
21,4466,4603,1
22,989,26,2
23,2829,2669,1
24,5128,1144,10
25,623,1310,3
26,1725,1858,1
27,56,15,3
28,853,1121,1
29,2587,240,1
30,0,589,2
31,1631,1756,1
32,4115,4539,1
33,592,701,1
34,26,1611,1
35,2570,2916,5
36,4314,3743,1
37,4279,3825,3
38,4083,355,10
39,2699,3627,2
40,2718,3046,1
41,1839,977,4
42,346,347,1
43,5796,26,2
44,98,184,1
45,4092,4434,1
46,4430,1998,2
47,5823,1651,1
48,163,3,7
49,16,2,7
50,2346,2672,3
51,2338,1610,1
52,1764,2008,1
53,2077,5279,-1
54,26,4235,1
55,4471,86,2
56,1441,26,2
57,853,440,1
58,1121,1183,1
59,5269,5385,-10
60,3146,1794,2
61,208,158,1
62,26,2146,1
63,2146,5479,1
64,2338,3681,-10
65,3838,4294,1
66,26,2457,1
67,4598,4545,-10
68,510,258,1
69,2882,2884,1
70,2443,3896,10
71,1459,864,1
72,5738,69,1
73,230,510,1
74,39,6,1
75,4443,4115,10
76,4006,482,1
77,5,9,3
78,916,937,-10
79,26,313,1
80,2257,864,1
81,1443,1176,1
82,5731,5134,1
83,428,1393,2
84,5378,4788,2
85,3316,3523,1
86,4783,584,1
87,1524,1564,1
88,1935,1814,1
89,3378,2183,-2
90,2793,2794,1
91,4122,4784,1
92,1813,1647,1
93,4248,2884,1
94,2276,3659,1
95,1012,623,3
96,1277,1970,-10
97,1571,6,1
98,502,507,2
99,10,38,2
100,1510,1344,1
101,5,26,4
102,775,529,1
103,1490,26,1
104,4465,5512,1
105,5797,4206,2
106,1830,1881,1
107,2884,1011,1
108,0,1344,5
109,4689,4856,1
110,1940,2248,1
111,1181,428,3
112,4660,4656,2
113,4824,4092,2
114,217,308,3
115,1204,1915,1
116,1602,269,-10
117,648,483,1
118,0,75,1
119,2062,2916,1
120,2587,3592,1
121,3553,10,2
122,1907,1668,4
123,5269,5100,-10
124,2247,4301,1
125,3832,4559,2
126,3463,4115,1
127,3646,5443,1
128,4230,4528,5
129,347,368,1
130,5721,75,1
131,163,1576,4
132,1921,2139,1
133,313,1005,8
134,1764,4161,1
135,1512,1521,3
136,2065,2336,1
137,606,359,1
138,4559,4296,1
139,681,1344,2
140,230,347,1
141,4092,3802,2
142,1341,1532,1
143,1453,505,1
144,3910,1643,1
145,4559,5199,1
146,4039,3566,4
147,2587,264,2
148,1344,1421,3
149,441,3684,-10
150,3076,977,4
151,2492,2488,3
152,1769,4564,-10
153,3857,4040,1
154,1293,1987,1
155,1465,2587,1
156,1773,2269,1
157,2054,1983,1
158,5398,3631,1
159,217,321,4
160,1276,1522,3
161,1685,4604,3
162,2979,3011,1
163,1275,4092,1
164,139,3725,1
165,480,1981,1
166,896,1935,1
167,1764,1875,2
168,3555,4115,4
169,2338,3648,-1
170,441,2587,1
171,4092,3378,1
172,1996,505,2
173,3462,2328,2
174,4219,4182,1
175,936,569,10
176,5146,5144,10
177,2377,1176,5
178,1945,1891,2
179,506,3848,1
180,359,444,1
181,4473,1505,1
182,4299,3472,-1
183,1814,2055,1
184,41,4521,1
185,2587,3621,4
186,2328,2831,1
187,3126,1354,1
188,1327,1341,1
189,3164,3170,1
190,3800,5050,1
191,2839,2473,1
192,124,368,1
193,10,2181,-2
194,3381,1718,3
195,1444,1765,1
196,1830,1875,2
197,2778,5491,1
198,716,758,2
199,2839,2016,1
200,1344,30,5
201,1144,4266,3
202,2273,4617,-10
203,3378,4741,1
204,1719,26,2
205,1764,2886,2
206,4284,4004,-10
207,3456,4206,2
208,977,864,1
209,1981,3273,1
210,3566,4348,1
211,2556,2065,2
212,5532,2949,1
213,2420,2587,3
214,2338,3075,1
215,1549,10,1
216,313,1159,1
217,5317,4559,10
218,103,245,1
219,4090,977,2
220,2106,2065,3
221,3912,3938,1
222,4765,977,3
223,4275,4545,1
224,159,376,1
225,2767,1907,1
226,2433,2150,1
227,2755,2772,1
228,86,505,3
229,4591,4596,1
230,5439,3573,1
231,507,514,2
232,452,1249,1
233,1474,500,1
234,4707,4115,1
235,69,5134,1
236,4092,4533,3
237,4023,3838,1
238,594,1226,1
239,3580,3555,4
240,791,986,3
241,3998,2587,1
242,2077,5311,-2
243,3062,4663,1
244,209,353,1
245,841,302,4
246,2537,2486,1
247,1756,1668,2
248,1918,1931,1
249,1574,1522,5
250,867,964,2
251,2434,977,1
252,2347,1685,1
253,1160,0,10
254,4835,4838,1
255,359,139,2
256,4206,4853,1
257,864,1341,1
258,1739,1176,1
259,111,5,6
260,5351,3910,1
261,5000,176,1
262,864,5039,-10
263,4936,4935,-1
264,3906,3648,2
265,2338,2110,1
266,1,5,5
267,4230,4690,5
268,5269,5222,2
269,3826,3523,1
270,3517,3154,5
271,4106,3826,2
272,132,673,2
273,269,0,5
274,2587,4922,2
275,1022,937,2
276,1012,1053,4
277,4689,4842,1
278,4689,2724,1
279,2938,3125,1
280,1853,1629,1
281,4710,4545,1
282,163,3034,4
283,248,364,1
284,2953,3049,1
285,1521,2166,2
286,424,512,1
287,26,310,1
288,17,49,1
289,2261,4092,1
290,647,32,4
291,244,867,1
292,1521,41,8
293,1168,1024,1
294,3502,26,3
295,3751,5387,4
296,505,5513,1
297,926,1033,-10
298,4119,3282,1
299,4115,4443,1
300,4092,4179,1
301,1521,3573,3
302,4034,4994,1
303,3573,3743,3
304,1291,864,1
305,3573,5093,1
306,4589,1764,-10
307,2195,2065,3
308,6,1812,1
309,233,106,2
310,2084,26,1
311,2787,2570,1
312,2822,1998,1
313,4171,4532,1
314,1321,3168,-1
315,4152,4148,1
316,5269,5109,-10
317,1945,1850,1
318,2247,2916,1
319,4423,5162,1
320,445,264,1
321,226,633,1
322,3405,2587,2
323,1764,1850,1
324,2839,3581,1
325,2433,2128,2
326,4783,3926,1
327,2355,2276,1
328,4768,3497,3
329,2193,1080,10
330,3062,3853,1
331,580,734,3
332,2016,10,1
333,26,2746,1
334,5429,1689,1
335,269,230,2
336,3555,3910,4
337,582,161,10
338,3838,4182,1
339,1021,1367,1
340,3573,3838,1
341,4115,3743,2
342,13,214,1
343,2338,3139,3
344,2511,4518,1
345,945,688,1
346,3902,4115,1
347,888,613,1
348,1522,1486,1
349,3062,3857,1
350,17,487,2
351,26,4729,1
352,375,2241,1
353,3496,977,3
354,1685,1921,1
355,1306,782,1
356,2239,2150,1
357,505,1290,-5
358,3638,3378,1
359,1981,3140,1
360,264,896,1
361,347,159,1
362,4338,3554,1
363,2247,3638,1
364,35,1998,1
365,3662,726,2
366,1853,2460,1
367,3759,2898,1
368,3696,5037,3
369,2839,2570,6
370,3759,4293,5
371,1576,1522,3
372,440,646,2
373,3391,26,1
374,2119,4155,5
375,1981,2780,2
376,1142,1158,1
377,3209,1764,9
378,6,57,1
379,42,239,2
380,3654,3496,1
381,453,1697,3
382,4521,3252,1
383,829,1024,1
384,1521,4578,-10
385,661,159,1
386,3555,4936,2
387,829,2146,-2
388,2548,2530,8
389,3083,2587,1
390,163,751,1
391,2879,54,-10
392,841,1274,1
393,4182,1907,3
394,164,399,1
395,1685,2347,1
396,4371,4471,1
397,10,3553,2
398,412,121,1
399,1853,202,1
400,4427,5446,3
401,589,236,1
402,2979,3022,1
403,2884,3958,-10
404,369,272,1
405,344,356,2
406,5456,5457,1
407,3951,4302,1
408,3577,3692,1
409,1925,1902,1
410,5502,3646,1
411,4348,4466,1
412,2971,2632,1
413,4333,4425,1
414,444,493,5
415,3523,3985,-10
416,2026,2006,2
417,1728,1797,6
418,4008,2214,2
419,2511,3055,1
420,1410,3573,1
421,2247,5007,2
422,2886,2387,1
423,3481,3488,10
424,3800,5435,1
425,760,928,1
426,557,573,1
427,5,1321,8
428,2077,2139,1
429,321,1792,1
430,217,299,4
431,1522,1354,3
432,1568,3662,1
433,401,176,1
434,2248,2289,-9
435,1344,1160,10
436,3117,2723,1
437,26,1512,1
438,1121,1089,1
439,763,2587,1
440,490,444,1
441,864,240,1
442,3646,4829,2
443,3378,3382,1
444,4525,4035,3
445,441,5512,2
446,688,1459,1
447,3631,2146,-4
448,26,3200,1
449,871,874,5
450,5649,5705,1
451,3183,3170,2
452,4199,864,1
453,1428,4034,1
454,1374,375,1
455,1764,4585,-10
456,4471,5059,-10
457,3705,4074,2
458,2387,132,2
459,2247,1719,1
460,139,1743,1
461,482,1500,1
462,2295,18,10
463,3079,1764,2
464,4299,2139,-2
465,0,57,1
466,3415,2781,10
467,2157,2218,1
468,2262,1181,1
469,4206,1685,4
470,19,1939,1
471,159,1,8
472,4792,5002,4
473,5432,3646,1
474,1211,1261,1
475,2213,2125,-2
476,1925,4277,1
477,3910,5661,-1
478,4746,18,-10
479,1176,1966,5
480,864,2146,1
481,2587,3819,5
482,3289,3300,-10
