,index,src,dst,rating
0,19503,415,308,1
1,8932,792,37,1
2,18024,214,472,1
3,988,189,1,2
4,4262,1189,10,1
5,747,0,2847,1
6,17693,3487,198,1
7,15902,146,962,8
8,8423,32,294,1
9,8225,31,236,1
10,4433,10,154,1
11,11066,60,1812,1
12,17487,551,188,3
13,16249,1026,155,1
14,3991,477,9,1
15,14305,153,112,1
16,17704,198,1586,4
17,7843,28,613,1
18,1549,2,42,5
19,20473,402,510,1
20,2896,114,6,1
21,18101,217,1442,2
22,18418,364,235,1
23,11865,171,72,2
24,12142,76,1637,1
25,20922,450,554,1
26,11487,66,1287,1
27,13904,103,374,1
28,1939,917,3,1
29,22324,3730,714,1
30,970,132,1,3
31,1680,2,11,1
32,16309,156,3781,2
33,3350,7,117,1
34,14920,261,124,1
35,6548,20,98,1
36,5132,2134,13,1
37,3595,151,8,4
38,12659,83,147,1
39,19428,301,402,1
40,15145,128,1415,4
41,20204,2370,371,1
42,2966,2868,6,1
43,16588,166,2658,1
44,4564,975,11,9
45,913,167,1,9
46,21400,527,1585,1
47,19870,339,728,1
48,2361,4,290,4
49,11266,63,699,1
50,424,0,195,2
51,6064,17,2227,2
52,23221,1117,3742,3
53,20161,366,1637,1
54,20460,1429,402,1
55,14861,123,331,5
56,19794,331,950,1
57,11995,853,74,1
58,23395,1260,1709,1
59,15316,131,503,3
60,3251,595,7,2
61,17919,209,869,2
62,6144,3363,18,2
63,20559,408,3781,1
64,22166,677,2611,1
65,8936,2161,37,1
66,10129,51,49,1
67,2513,99,5,8
68,7441,25,3482,1
69,9219,39,1599,1
70,16402,160,1493,1
71,17865,205,283,-1
72,13210,91,1559,1
73,22479,758,1870,1
74,15467,263,136,2
75,14555,369,116,1
76,8479,428,33,5
77,4936,12,1528,4
78,8183,65,31,1
79,16991,3762,176,-10
80,2813,369,6,5
81,496,0,544,1
82,4113,9,1287,1
83,20751,431,1792,1
84,2271,459,4,1
85,6700,21,850,2
86,14353,374,113,1
87,6504,20,88,1
88,5198,13,1023,1
89,4815,1049,12,8
90,8094,565,30,1
91,16319,649,157,2
92,16075,150,3337,1
93,56,782,0,3
94,20619,431,415,1
95,14369,113,280,2
96,9875,46,271,2
97,22253,693,3766,-10
98,3290,695,7,1
99,16845,175,517,2
100,14508,115,1870,1
101,1877,2001,3,2
102,22364,2578,724,1
103,21411,528,1153,2
104,10234,155,50,1
105,15184,567,129,3
106,17774,201,934,1
107,11539,67,1530,1
108,17841,456,205,2
109,12732,84,1569,1
110,20748,431,603,1
111,23309,1189,3690,1
112,7923,277,29,1
113,14942,124,525,1
114,5481,14,16,1
115,3264,51,7,2
116,6882,22,465,1
117,4489,10,2166,1
118,11617,155,68,1
119,1237,1,62,1
120,18586,2379,244,1
121,9667,568,44,1
122,6668,21,184,3
123,13121,151,90,4
124,11735,69,141,1
125,993,139,1,2
126,8865,36,184,3
127,17980,212,217,10
128,5970,3781,17,7
129,23456,1556,1363,2
130,19793,331,2256,1
131,19479,304,3781,2
132,9516,42,1778,1
133,4075,9,1572,1
134,23115,1036,3594,2
135,2008,3,509,4
136,15109,128,442,5
137,10242,3743,50,1
138,13040,88,515,1
139,5844,65,16,1
140,8810,35,123,1
141,5840,218,16,1
142,19912,342,1990,2
143,10818,57,1382,3
144,20757,571,432,1
145,24105,3606,3707,-10
146,5641,15,36,7
147,12731,84,245,1
148,9323,42,41,1
149,13791,101,1989,2
150,8170,39,31,1
151,21001,459,1558,1
152,21044,2479,471,1
153,23588,3594,1507,1
154,14820,122,1670,1
155,1290,1544,2,8
156,18984,490,268,1
157,11745,69,3566,-1
158,10867,57,119,1
159,19157,280,557,1
160,10165,49,441,2
161,24159,3748,3742,3
162,21681,576,3754,-5
163,16684,490,170,5
164,8196,31,172,5
165,9980,47,201,1
166,15517,137,435,2
167,9562,444,43,4
168,3343,7,1517,2
169,14065,106,512,10
170,5152,13,59,3
171,21610,747,563,1
172,1280,1,3678,-10
173,8119,30,94,1
174,13482,124,95,6
175,13400,94,220,2
176,13546,95,3773,-10
177,17027,176,218,3
178,21924,1268,621,1
179,10456,52,753,-10
180,4030,9,96,3
181,19465,303,3781,1
182,12049,239,75,3
183,1079,2458,1,1
184,1054,1692,1,1
185,17800,3575,203,1
186,349,1135,0,1
187,6034,273,17,1
188,480,0,1589,1
189,18575,243,1355,1
190,18510,239,2004,1
191,15601,750,140,1
192,9011,2069,38,10
193,19530,3613,309,1
194,12922,86,394,1
195,4734,11,162,1
196,21500,2025,540,2
197,14766,959,121,1
198,11329,64,174,1
199,13830,102,1316,2
200,5552,448,15,3
201,11196,62,3781,-10
202,11633,68,345,2
203,3886,1796,9,2
204,15826,144,152,1
205,761,0,516,1
206,18804,1738,255,3
207,23899,2258,3768,2
208,11613,1484,68,1
209,223,1834,0,1
210,6781,128,22,5
211,3979,2581,9,1
212,11436,69,66,1
213,23354,3464,1234,-5
214,20167,1000,367,1
215,12233,77,402,1
216,13529,95,249,1
217,2728,5,3221,1
218,15445,202,135,1
219,20176,2041,368,2
220,17571,191,765,1
221,7379,25,111,5
222,21921,619,3774,-10
223,15157,128,3760,4
224,13965,104,2396,1
225,2553,700,5,3
226,4726,11,903,1
227,11294,2070,64,1
228,19568,312,928,4
229,243,123,0,1
230,7790,3604,28,1
231,16960,1161,176,1
232,5453,14,983,1
233,20333,384,1113,3
234,8096,2335,30,-1
235,20206,371,461,1
236,4123,9,638,1
237,10687,56,1134,5
238,2861,749,6,2
239,8799,35,571,1
240,10350,51,188,3
241,18339,228,288,2
242,24172,3776,3781,-10
243,20528,541,407,1
244,23096,2026,1020,1
245,17486,1329,188,5
246,15122,128,1079,5
247,2671,5,207,3
248,10984,59,175,5
249,7276,1127,25,2
250,9100,631,39,5
251,12641,83,908,1
252,15136,128,655,5
253,15678,3093,142,2
254,13964,104,483,1
255,20346,385,3742,-10
256,4993,12,94,1
257,241,1795,0,1
258,23495,3505,1400,1
259,14857,123,176,10
260,9144,1627,39,1
261,11418,94,66,1
262,12581,137,83,5
263,18476,2641,238,1
264,7731,122,28,4
265,14319,112,501,3
266,6782,235,22,5
267,14269,2275,111,1
268,3879,39,9,3
269,17252,533,180,1
270,6315,490,19,3
271,2958,3778,6,1
272,8967,37,2161,2
273,3842,8,3712,-10
274,8042,29,3469,-10
275,5663,15,1285,3
276,15263,1403,130,1
277,4742,11,3353,1
278,4071,9,1017,1
279,16483,163,1392,-1
280,1892,1414,3,2
281,18752,2063,253,1
282,871,0,724,1
283,13724,2579,100,5
284,6607,37,21,1
285,8118,30,1568,1
286,16228,154,3168,1
287,12181,1472,77,1
288,6733,21,2170,1
289,12763,84,96,1
290,7343,385,25,1
291,13845,102,2228,1
292,9591,378,43,1
293,6360,19,891,3
294,20062,357,1437,1
295,277,746,0,1
296,19359,1211,296,1
297,17313,673,182,4
298,13249,228,92,1
299,18088,802,217,2
300,21918,619,1116,1
301,19365,296,1914,1
302,18431,235,2531,1
303,10556,54,282,10
304,12186,402,77,1
305,16815,174,299,1
306,12493,81,350,4
307,14812,122,390,1
308,11397,65,737,1
309,878,0,533,1
310,1311,2000,2,5
311,12889,86,205,2
312,5413,14,268,1
313,10408,184,52,2
314,9765,1529,45,2
315,18950,263,804,10
316,1865,21,3,2
317,20303,381,3767,-6
318,21325,797,512,1
319,18084,216,2524,1
320,19986,350,1593,1
321,806,0,2128,1
322,17419,185,497,1
323,21942,3730,624,1
324,9556,44,43,10
325,20393,392,451,1
326,18627,412,246,1
327,2662,5,74,4
328,16490,488,164,1
329,13753,1004,101,7
330,5765,19,16,4
331,4621,244,11,1
332,11372,482,65,1
333,10943,58,3598,2
334,8473,32,797,-3
335,5886,16,638,2
336,18654,903,248,2
337,8295,458,32,1
338,7983,29,1731,1
339,21241,1073,497,1
340,21169,487,1320,1
341,7990,29,31,1
342,19964,3006,349,1
343,15518,2508,138,10
344,15882,145,2938,1
345,24023,3762,3464,-10
346,1546,2,119,5
347,18478,2561,238,1
348,11135,61,257,1
349,6369,19,40,2
350,23811,1975,1928,1
351,4582,279,11,3
352,18673,248,655,-10
353,495,0,1579,1
354,2089,3,535,2
355,13303,93,2335,1
356,2975,2407,6,-10
357,3460,7,751,-1
358,15708,142,2904,1
359,1634,2,173,2
360,20827,1612,440,1
361,9092,38,1124,1
362,24104,3707,3606,-10
363,10518,53,327,1
364,20969,456,3132,2
365,5512,14,1248,-1
366,8909,2913,37,2
367,20551,408,1480,2
368,1661,2,3514,2
369,1243,1,2498,1
370,18287,225,1988,1
371,18622,1574,246,3
372,5613,222,15,1
373,16320,903,157,1
374,11137,61,144,1
375,16119,151,511,1
376,22347,715,1605,1
377,12329,78,1002,1
378,18349,278,229,2
379,807,0,74,1
380,5626,533,15,1
381,4482,10,1507,1
382,10280,50,370,1
383,17491,259,188,1
384,17517,189,3778,3
385,10850,57,291,1
386,3337,7,35,2
387,14880,123,747,1
388,23332,1220,3730,7
389,14782,121,161,1
390,14856,227,123,-10
391,18498,238,2534,1
392,7638,1454,27,5
393,22159,929,677,2
394,10833,57,163,2
395,5737,15,1089,1
396,17484,1423,188,7
397,15627,1038,141,3
398,21562,2909,549,1
399,6596,2309,21,1
400,16346,158,3767,-10
401,13395,94,314,2
402,1514,226,2,1
403,4254,244,10,1
404,20618,1070,415,4
405,21189,490,3593,3
406,9955,47,481,3
407,8307,3691,32,1
408,4512,10,1029,1
409,10802,3709,57,-10
410,1181,1,445,2
411,15238,129,578,1
412,22326,714,1920,1
413,5694,15,71,2
414,4808,11,246,1
415,12540,91,82,1
416,18758,253,3676,1
417,11514,1802,67,1
418,11264,63,134,1
419,17497,188,1297,1
420,17824,204,361,2
421,4325,738,10,1
422,12022,74,254,1
423,1765,2,10,1
424,5070,401,13,3
425,4664,885,11,1
426,14466,2386,115,2
427,18295,225,612,1
428,12626,83,862,2
429,8359,32,176,3
430,9233,141,40,3
431,16067,699,150,1
432,13500,374,95,1
433,4571,1030,11,5
434,4206,308,10,3
