,index,src,dst,rating
0,8556,1700,1668,1
1,6619,1276,1121,2
2,25727,4443,4593,1
3,1101,268,16,3
4,17535,2247,2840,6
5,33011,2287,176,1
6,29741,864,4798,-10
7,29844,1275,264,1
8,22383,4094,3857,1
9,31586,5371,3910,1
10,29251,4978,4975,2
11,6008,1308,1271,1
12,18897,1764,3463,1
13,25759,3820,4018,6
14,24980,1321,3680,-10
15,6058,1311,1318,1
16,11926,867,1999,1
17,11023,264,2130,1
18,27625,4115,4758,2
19,9564,1920,1918,1
20,8895,1799,1723,1
21,22748,2077,3809,1
22,17755,1981,3266,2
23,15554,1907,2847,1
24,16176,2822,1981,3
25,32726,4559,4413,8
26,29438,26,4428,1
27,31424,4829,3497,1
28,15136,1907,2637,2
29,13276,2498,2496,-10
30,9280,1240,26,1
31,21449,3973,2062,4
32,11354,2125,2087,3
33,11558,1590,2020,1
34,18169,2146,83,1
35,12969,1998,1540,1
36,30646,5218,2269,1
37,10963,2146,2139,1
38,15581,2819,217,-1
39,30539,4741,3826,1
40,27527,4748,4697,1
41,26626,3717,4587,-10
42,31917,4807,4521,1
43,7934,1646,1176,2
44,24171,3903,2587,5
45,28321,4216,4841,2
46,24950,3680,3717,-10
47,16368,2587,149,2
48,23672,4115,2762,1
49,7,1,16,5
50,7814,538,1306,1
51,30133,1764,4748,1
52,23722,3453,4122,1
53,17804,3257,3046,2
54,13491,2077,1629,1
55,14463,1827,132,1
56,11464,1644,505,2
57,26055,864,4555,-10
58,33728,1921,1764,4
59,29559,4481,4952,1
60,11048,1756,2096,1
61,1591,424,0,1
62,9578,145,1737,-1
63,12423,2218,2244,3
64,12406,864,2269,1
65,14204,1344,2651,-10
66,30938,5186,4604,1
67,26233,4582,4545,-10
68,31784,3209,2876,1
69,11382,2195,1547,6
70,10475,2047,2048,-1
71,780,42,215,1
72,32186,3819,3555,9
73,10821,2077,302,1
74,30236,2077,4545,1
75,23248,3743,1965,1
76,23887,1571,2264,1
77,9959,1984,864,1
78,26499,3712,4657,-10
79,26257,1764,3763,-10
80,17470,30,3216,1
81,13684,1521,1970,-1
82,23510,4277,3753,1
83,10023,1240,1681,1
84,25377,3391,4109,1
85,22956,3460,4092,1
86,24184,4394,4396,1
87,19692,3073,2669,-5
88,9253,1869,1240,1
89,21934,3911,4065,1
90,27866,4423,4251,1
91,12840,864,2320,-10
92,16311,2580,3019,2
93,5655,904,26,4
94,24498,3958,4135,1
95,29524,3747,506,1
96,626,98,175,1
97,12288,2160,2279,1
98,26823,0,2218,1
99,34853,3258,5134,2
100,32311,3751,5444,1
101,28687,1870,4471,1
102,21887,1160,4064,9
103,10764,1541,1902,1
104,2753,645,609,1
105,15216,2833,506,1
106,19940,1647,1485,1
107,16135,2987,26,3
108,27576,4756,4604,1
109,18440,3093,3302,2
110,24867,4466,4169,1
111,30015,4092,4115,3
112,1730,432,359,1
113,12833,1456,2020,3
114,25308,4315,2884,1
115,3185,435,719,4
116,8712,1281,1341,1
117,27471,3573,2605,2
118,29452,506,3743,1
119,28833,4295,4403,1
120,20637,2587,2990,4
121,30923,2077,5284,-1
122,24917,3684,1321,-10
123,20497,3565,3443,1
124,32760,4768,5531,1
125,367,95,113,1
126,34984,5801,0,3
127,20411,3721,691,3
128,16907,2669,3127,1
129,18614,2839,3419,2
130,18263,103,2128,1
131,30218,5156,4936,1
132,3264,593,762,1
133,13133,2269,2077,2
134,19904,3593,3623,1
135,15566,1998,551,1
136,22852,3751,3623,1
137,30508,3638,5190,10
138,12591,2077,132,1
139,28523,4874,4873,1
140,28865,506,3838,2
141,2318,547,546,10
142,6237,59,880,3
143,30098,5046,4559,1
144,32119,3646,1469,1
145,5464,551,882,1
146,15313,864,1907,10
147,11379,2047,2039,1
148,15616,10,18,10
149,18969,3424,3478,5
150,30743,5251,5218,1
151,31738,1293,1998,1
152,31179,6,5338,1
153,14111,2621,2633,3
154,16534,2885,2723,1
155,25080,584,4458,2
156,4135,378,889,5
157,20017,1275,3668,-10
158,32747,4296,3910,1
159,10366,1850,2055,1
160,2900,613,646,1
161,3353,752,646,1
162,30487,1465,510,1
163,9948,1890,1764,2
164,23495,4290,2884,1
165,23512,4295,4199,3
166,27642,1997,4206,1
167,1344,217,138,4
168,1684,45,147,1
169,8747,1551,1582,1
170,3898,435,485,2
171,11791,2268,1827,1
172,12123,1324,2077,1
173,34705,4444,5777,-10
174,21422,3659,3926,1
175,8235,1700,820,1
176,31636,4983,5392,1
177,35268,5845,506,2
178,16485,2790,2860,-1
179,19554,3600,2247,1
180,19462,2839,3540,1
181,6732,1404,1341,1
182,28449,4801,4471,1
183,1166,98,230,1
184,28245,4471,4521,2
185,25701,4589,4588,1
186,32540,3800,41,1
187,10292,1571,385,3
188,8772,1782,1144,1
189,7100,1487,1354,1
190,10753,1853,1644,2
191,17954,1293,2257,1
192,16820,3069,3103,1
193,11327,896,1484,1
194,8809,1276,1711,1
195,23715,3231,26,4
196,455,117,127,2
197,6957,1456,1465,1
198,20212,3713,1970,-10
199,14860,2635,2492,-10
200,11751,896,1275,1
201,3081,163,712,2
202,35079,4219,35,1
203,20360,3570,3659,2
204,29653,1275,4279,1
205,31790,4471,3800,1
206,33530,3910,2884,2
207,22888,4092,4195,2
208,19719,3593,2901,1
209,12129,1571,2316,1
210,15483,2819,54,-1
211,21447,1706,269,-3
212,25399,4547,4206,1
213,27436,4613,4115,1
214,25364,2511,4466,1
215,18239,2587,1773,1
216,16740,3093,2587,1
217,20697,3643,3659,1
218,21011,3266,3580,2
219,11399,550,2171,1
220,13518,2336,1522,1
221,4433,14,285,1
222,3367,754,98,1
223,17968,3218,3306,1
224,10958,2144,1911,1
225,17037,2953,3149,1
226,31979,86,505,3
227,15909,2953,2803,1
228,13786,26,2486,1
229,21731,321,2669,-1
230,3819,867,878,1
231,32528,3631,5087,2
232,1060,6,180,1
233,7682,1547,1512,3
234,25389,1643,4316,1
235,9243,1865,499,1
236,23278,1907,2675,1
237,22836,3838,4191,1
238,30280,240,4206,1
239,10657,163,2103,1
240,31931,2218,4604,2
241,485,117,1,1
242,3663,497,849,2
243,6001,1121,1306,1
244,30031,5093,5053,1
245,26402,4662,3958,2
246,26731,4585,3819,-10
247,5550,497,1242,1
248,15495,1907,2861,-1
249,1237,42,245,1
250,20217,3718,1970,-10
251,29535,4877,505,1
252,23454,10,4274,1
253,23400,3743,4215,1
254,29827,2077,5079,-10
255,1251,346,313,1
256,32949,3728,4206,1
257,15837,2940,2882,1
258,31459,3910,5368,-5
259,9218,1798,1830,5
260,25439,2146,2020,2
261,23320,3062,1176,1
262,5972,1089,1121,1
263,15754,2819,222,-1
264,23311,4182,4008,1
265,18664,2020,3428,1
266,15266,2016,2527,-10
267,29411,4092,4842,-10
268,13358,1,1321,8
269,1475,268,364,1
270,25047,4500,1,1
271,32946,5562,3751,1
272,15897,103,2269,1
273,7999,1655,135,1
274,736,0,205,1
275,16103,1981,480,1
276,30839,3580,176,2
277,3698,734,497,1
278,10996,2128,1163,1
279,9625,1723,1799,5
280,13435,1764,2518,-10
281,12508,2166,1685,1
282,8339,1717,1698,10
283,12806,2328,6,1
284,4290,786,791,3
285,4952,740,1086,1
286,22598,2214,4153,1
287,1074,41,6,8
288,3932,26,754,1
289,29658,26,5038,1
290,2995,567,662,1
291,17877,1485,3286,1
292,6252,1012,506,1
293,11138,2043,1771,1
294,13006,452,3,5
295,28987,4901,4934,1
296,29456,4545,3743,2
297,25794,4589,4598,6
298,13610,1354,2546,-4
299,15181,2632,2821,-10
300,11560,2076,2094,6
301,5559,1216,1241,5
302,20773,3453,3808,1
303,14886,2314,977,1
304,1780,444,106,1
305,28744,4900,4466,1
306,1547,26,282,1
307,10264,2039,26,10
308,26820,4407,4092,3
309,13097,264,1541,4
310,7719,1609,26,1
311,9653,1936,6,1
312,26954,4688,4604,1
313,22856,3325,453,5
314,7280,1341,1327,1
315,29599,4056,4115,2
316,27764,4765,1610,1
317,24131,4373,4366,1
318,28357,3305,3776,-1
319,28100,4801,4206,1
320,33476,3646,2338,2
321,14407,2302,2690,-10
322,23462,4152,4129,1
323,15739,26,2927,1
324,8489,1698,1281,1
325,28206,4815,3413,1
326,20509,977,1921,1
327,11441,1275,1344,5
328,5880,510,1227,1
329,17094,41,1204,1
330,17561,2247,3204,-10
331,7790,1498,864,2
332,16906,1981,3126,2
333,3599,435,833,2
334,22394,4121,2446,-10
335,7935,1644,18,10
336,4447,964,973,1
337,25032,2347,4092,1
338,20947,3659,3739,1
339,32300,2710,5444,1
340,27424,4624,3882,2
341,20370,2807,2587,1
342,27964,1610,2338,1
343,4411,972,884,1
344,22833,2587,4109,2
345,26794,4230,18,1
346,11101,2083,2058,3
347,7283,500,1306,1
348,7127,1354,1482,2
349,31514,3910,3555,4
350,2952,679,106,1
351,11588,1341,176,5
352,34006,1998,3275,2
353,11518,2224,2229,1
354,21907,4068,3910,1
355,33652,5134,5603,10
356,35178,4123,5838,1
357,8160,1344,1204,1
358,8545,1344,26,2
359,10401,2048,2047,2
360,26492,3712,4594,-10
361,8966,1763,355,1
362,23785,4237,4027,2
363,5539,26,882,1
364,15269,1853,2461,2
365,18543,2636,1764,4
366,25699,4588,4589,1
367,4428,791,896,1
368,17407,2218,2042,-10
369,16397,264,1859,5
370,35140,5831,4123,3
371,15982,2335,1800,-1
372,5057,1071,1137,1
373,28509,4366,4206,1
374,4461,812,969,2
375,29292,4792,4545,1
376,24601,1853,4372,1
377,4533,186,1028,1
378,33016,4279,3800,1
379,7473,1570,1522,1
380,191,0,60,1
381,28200,4792,3819,1
382,18242,3335,3350,1
383,20203,3710,3680,-10
384,18998,2016,1981,8
385,21408,3967,2587,10
386,12232,41,188,3
387,7701,1585,6,2
388,9717,10,1944,3
389,16439,2144,2218,1
390,29123,1764,4929,-10
391,27554,3819,4752,1
392,7506,1522,3,1
393,100,3,41,5
394,6921,782,1306,1
395,15368,2819,1746,-1
396,14154,2640,1853,1
397,15167,2827,2801,1
398,19610,2587,3040,3
399,21009,3895,3593,10
400,31292,3728,3470,1
401,21197,3904,1685,1
402,4325,919,937,2
403,26604,3716,4593,-10
404,6120,323,688,5
405,25456,4514,2545,6
406,30587,2587,240,1
407,12385,264,1610,1
408,29056,3371,2247,1
409,18277,2727,26,1
410,21739,4033,2570,1
411,14384,2672,2534,1
412,19130,2839,1576,3
413,7915,1592,1344,1
414,5178,1127,1165,1
415,19424,3474,1293,1
416,32781,3910,5535,-1
417,21768,3168,3580,2
418,1035,276,45,1
419,7458,26,1449,1
420,10622,1685,1163,1
421,26209,864,4235,1
422,1084,273,98,1
423,18271,1585,1839,1
424,34964,1998,2016,5
425,29173,4921,4115,1
426,5184,1063,462,2
427,22009,4084,2236,8
428,7924,1645,26,1
429,12448,264,451,1
430,23788,2119,2884,1
431,27701,4604,4334,2
432,10130,2010,1629,1
433,9364,688,1698,1
434,13875,2602,2603,1
435,4304,956,797,1
436,18944,1756,1576,2
437,3626,825,646,1
438,34324,3564,4431,-1
439,11366,1987,1669,1
440,11148,2180,1756,1
441,2103,510,422,1
442,1925,481,482,1
443,24777,4004,3503,1
444,8968,269,1816,-10
445,34189,5521,5715,5
446,15547,1907,2770,1
447,998,42,184,7
448,5747,497,783,-10
449,24003,3396,510,1
450,2432,587,564,8
451,22737,4115,4178,1
452,6143,1303,1338,1
453,5414,1218,1176,1
454,29638,1685,3759,1
455,24885,3404,4039,1
456,9637,1866,1933,1
457,25802,4372,4585,-10
458,17043,3126,1945,1
459,2600,624,565,1
460,17384,3201,2369,1
461,700,199,29,1
462,16079,2979,1981,1
463,22235,4101,4045,1
464,16065,2839,2971,1
465,33220,2876,5319,1
466,17452,3204,2450,2
467,34480,3564,1804,1
468,22894,3623,1718,2
469,34900,3638,2254,1
470,29303,41,4206,4
471,33839,5134,5677,1
472,17526,3204,1321,-10
473,8061,319,1522,2
474,15276,2166,2738,2
475,30573,5010,3819,2
476,3512,16,195,1
477,13444,1756,2515,-10
478,11116,1891,1981,2
479,26440,3710,4588,-10
480,13605,2020,2517,-10
481,17266,3186,1764,1
482,32200,3823,2592,3
483,31924,3800,5418,1
484,32992,5491,5566,1
485,22644,4135,4153,5
486,35266,5845,5846,1
487,15893,2875,2951,1
488,21179,3929,3839,2
489,10982,1276,2126,1
490,24268,4403,4323,1
491,30018,2077,5112,-10
492,22966,2247,3376,-10
493,21709,2182,2302,1
494,9370,1890,1585,1
495,7062,45,1430,1
496,22499,1321,3124,-9
497,9245,1160,1707,-5
498,3736,592,45,1
499,509,57,6,1
500,1406,310,56,1
501,34993,5134,176,3
502,24341,4115,1585,1
503,14767,2748,2725,1
504,30333,2077,664,-2
505,20854,2354,3800,1
506,32770,5533,3356,2
507,14665,2675,2443,1
508,11767,1003,896,6
509,22125,2247,1981,-5
510,21216,3939,3496,1
511,18836,1275,1756,2
512,19781,3641,26,1
513,29879,4437,165,-2
514,34274,3646,5724,2
515,20302,441,3668,-10
516,12069,1866,1629,1
517,33162,5506,1,3
518,21402,3968,2587,1
519,7339,26,1537,1
520,11006,1500,2077,1
521,32710,5524,4830,3
522,17836,3257,2218,2
523,31461,4521,5309,4
524,23617,4315,2587,1
525,25722,4588,4593,2
526,32122,3379,5100,-10
527,22893,2925,3838,1
528,11141,2147,2125,1
529,29170,1873,4962,2
530,10702,2076,1276,2
531,31244,4722,4092,-10
532,13637,1354,828,5
533,29722,26,5047,1
534,22946,4199,2354,1
535,102,16,29,2
536,8167,1692,864,1
537,4248,876,317,1
538,9088,1708,1276,1
539,27183,4115,4706,1
540,2880,6,598,4
541,3625,835,821,1
542,33942,1310,2139,-1
543,11757,2098,1685,3
544,30988,3802,5290,1
545,5058,921,841,2
546,3339,726,684,1
547,17356,2413,2414,1
548,24543,3566,4115,1
549,18741,1360,1521,1
550,494,105,98,1
551,14902,1981,2744,1
552,19806,2587,3646,1
553,29190,4794,3379,1
554,17369,2128,3170,1
555,31304,4833,5349,1
556,7565,1512,1444,1
557,28355,2605,2062,1
558,24420,4371,3674,1
559,31880,1764,5406,-9
560,14400,2591,2328,2
561,34552,2146,3800,1
562,28753,4902,3802,1
563,8878,1540,1616,-1
564,28408,669,4115,2
565,25956,4206,3573,8
566,9195,1827,1853,1
567,7486,1240,1573,1
568,2205,527,0,1
569,27448,4604,4738,1
570,28773,4051,4092,2
571,31112,4299,2605,-1
572,28599,4830,3497,3
573,16571,2580,2981,3
574,5455,1221,1157,1
575,11199,1465,1435,1
576,7684,1435,1311,1
577,11731,2234,2260,1
578,23325,4275,313,1
579,13289,2218,2490,-1
580,7482,734,1138,2
581,2113,56,28,1
582,9909,1970,1921,5
583,1859,450,438,3
584,23568,3628,3980,-1
585,29328,0,1277,2
586,24806,4480,3898,3
587,20909,2570,3809,2
588,20121,13,3668,-10
589,9505,1866,1718,1
590,22846,4169,4192,1
591,29968,5107,5108,10
592,17777,1981,2654,3
593,5016,230,1078,1
594,8136,1512,1540,1
595,27610,4726,1685,5
596,32838,3751,5529,3
597,161,61,30,1
598,19232,2570,3525,1
599,23435,4027,4017,1
600,14264,2664,2665,10
601,4869,972,1051,10
602,17751,3218,3264,10
603,31135,5321,5326,2
604,7392,1344,1552,1
605,26144,4593,864,-10
606,4607,736,973,10
607,1964,486,356,1
608,4414,879,684,2
609,18163,1907,3336,-10
610,31798,5415,1310,1
611,6704,1415,1363,1
612,14335,1981,2592,2
613,12617,2083,2150,1
614,17655,3245,1764,-10
615,11445,1435,864,5
616,15765,2587,2932,1
617,15022,2535,1629,1
618,16355,2587,1786,2
619,5360,736,937,1
620,26678,3719,4443,-10
621,9488,1647,1616,-1
622,20460,3724,3659,1
623,7957,1585,26,2
624,9797,1176,1928,1
625,25167,3566,1925,4
626,34852,3705,5428,2
627,18519,1310,2218,-10
628,29674,2328,5040,1
629,13501,1293,1341,-10
630,2924,678,556,1
631,2631,396,145,1
632,9041,1725,1825,1
633,4452,444,1017,1
634,32901,1965,2974,1
635,18670,2201,2587,3
636,5470,864,453,1
637,29836,4115,5063,1
638,34576,4444,1718,1
639,30686,4741,3743,3
640,22487,3659,1870,1
641,25501,4427,3819,1
642,27902,4783,4749,2
643,32155,5386,3378,-10
644,3537,791,758,3
645,34259,4559,4833,1
646,23704,4149,1995,3
647,31673,4115,5399,1
648,1184,318,6,3
649,30934,5269,5287,-10
650,15743,1567,2023,1
651,14014,2624,864,10
652,25109,2420,506,4
653,1254,343,299,1
654,32573,4115,2062,2
655,25277,864,1764,5
656,28078,4801,3454,1
657,16434,26,3039,1
658,2021,486,444,1
